land_parcel_std,separated_names,tenderer_rank,num_tenderers_same_rank,tender_price,price_psm_gfa,tenderer_id,tenderer_name,unified_name
Stamford Road/North Bridge Road,CAPITOL RETAIL MANAGEMENT Pte. Ltd. | CAPITOL HOTEL MANAGEMENT Pte. Ltd. | CAPITOL RESIDENTIAL DEVELOPMENT Pte. Ltd.,1,3,,0.0,tenderer_1,CAPITOL RETAIL MANAGEMENT Pte. Ltd.,0
Stamford Road/North Bridge Road,CAPITOL RETAIL MANAGEMENT Pte. Ltd. | CAPITOL HOTEL MANAGEMENT Pte. Ltd.,2,2,,0.0,tenderer_1,CAPITOL RETAIL MANAGEMENT Pte. Ltd.,0
Jurong Gateway Road,LEND LEASE RETAIL INVESTMENTS 3 Pte. Ltd. | LEND LEASE COMMERCIAL INVESTMENTS Pte. Ltd.,1,2,748888000.0,6992.55,tenderer_1,LEND LEASE RETAIL INVESTMENTS 3 Pte. Ltd.,0
Jurong Gateway Road,ENERGY TRUSTEE Pte. Ltd.,2,1,728800000.0,6804.98,tenderer_1,ENERGY TRUSTEE Pte. Ltd.,0
Clemenceau Avenue/Havelock Road,RB CAPITAL HOTELS Pte. Ltd.,1,1,101113000.0,8750.58,tenderer_1,RB CAPITAL HOTELS Pte. Ltd.,0
Kaki Bukit Avenue 4,WINLAND Pte. Ltd.,2,1,65188000.0,868.59,tenderer_1,WINLAND Pte. Ltd.,0
Jalan Eunos,TUAS TECHNOLOGY PARK Pte. Ltd. | OPH MARYMOUNT LIMITED,1,2,257777000.0,4462.43,tenderer_1,TUAS TECHNOLOGY PARK Pte. Ltd.,0
Woodlands Avenue 12,BOON KENG DEVELOPMENT Pte. Ltd.,1,1,65180000.0,807.7,tenderer_1,BOON KENG DEVELOPMENT Pte. Ltd.,0
Woodlands Avenue 12,TGFB Pte. Ltd.,2,1,50555777.0,626.48,tenderer_1,TGFB Pte. Ltd.,0
Seletar Road,Asplenium Land Pte. Ltd.,1,1,123000000.0,5032.94,tenderer_1,Asplenium Land Pte. Ltd.,0
Robinson Road/Boon Tat Street,Royal Group Holdings Pte. Ltd.,1,1,86000000.0,11543.62,tenderer_1,Royal Group Holdings Pte. Ltd.,0
Robinson Road/Boon Tat Street,Oxley Vibes Pte. Ltd.,2,1,72000000.0,9664.43,tenderer_1,Oxley Vibes Pte. Ltd.,0
Pioneer Road North/Soon Lee Street,WINLAND Pte. Ltd.,2,1,26588999.0,920.75,tenderer_1,WINLAND Pte. Ltd.,0
Pioneer Road North/Soon Lee Street,KNG LAND Pte. Ltd.,1,1,26920000.0,932.21,tenderer_1,KNG LAND Pte. Ltd.,0
Gopeng Street/Peck Seah Street,Imperial Development Pte. Ltd.,2,1,189000000.0,9734.24,tenderer_1,Imperial Development Pte. Ltd.,0
